iter	Logloss	Logloss:use_weights=true	Logloss:use_weights=false	Recall:use_weights=true	Recall:use_weights=false	Precision:use_weights=true	Precision:use_weights=false	F1:use_weights=true	F1:use_weights=false	Accuracy:use_weights=true	Accuracy:use_weights=false
0	0.6144876177	0.6144876177	0.6248752339	0.9572938689	0.9572938689	0.9034872557	0.9597286986	0.9296126224	0.9585097375	0.9275166862	0.9404978749
1	0.5454760521	0.5454760521	0.5636657445	0.9606765328	0.9606765328	0.9037943954	0.9598648078	0.9313677709	0.9602704987	0.9292080181	0.9429265331
2	0.4956939533	0.4956939533	0.5157525378	0.9585623679	0.9585623679	0.9147410118	0.9646808511	0.9361391431	0.961611877	0.9346094934	0.945051609
3	0.4504534693	0.4504534693	0.4739803362	0.9577167019	0.9577167019	0.9165566773	0.9654731458	0.9366847418	0.9615792825	0.9352630867	0.945051609
4	0.4140055171	0.4140055171	0.4370008624	0.9539112051	0.9539112051	0.9181502765	0.9661670236	0.9356891804	0.96	0.9344367646	0.9429265331
5	0.3792475423	0.3792475423	0.4020027773	0.9534883721	0.9534883721	0.9200241512	0.9669811321	0.9364573968	0.9601873536	0.9353017744	0.9432301154
6	0.3494556654	0.3494556654	0.3701787427	0.9526427061	0.9526427061	0.920916127	0.9673679691	0.9365107899	0.9599488709	0.9354171546	0.9429265331
7	0.3267098576	0.3267098576	0.3459533191	0.955179704	0.955179704	0.9182500886	0.9662104363	0.9363509124	0.9606634063	0.9350710141	0.9438372799
8	0.3087002312	0.3087002312	0.3268491456	0.9543340381	0.9543340381	0.9210452184	0.9674239177	0.9373941825	0.9608343976	0.9362628205	0.9441408622
9	0.2914984766	0.2914984766	0.3086609127	0.9539112051	0.9539112051	0.9210129851	0.9674099485	0.937173472	0.9606131573	0.9360514041	0.9438372799
10	0.278600573	0.278600573	0.294457885	0.9534883721	0.9534883721	0.9219392909	0.9678111588	0.9374484668	0.9605963791	0.9363782007	0.9438372799
11	0.2674643445	0.2674643445	0.2819412015	0.9534883721	0.9534883721	0.9219392909	0.9678111588	0.9374484668	0.9605963791	0.9363782007	0.9438372799
12	0.2576669101	0.2576669101	0.2708984861	0.9534883721	0.9534883721	0.9219392909	0.9678111588	0.9374484668	0.9605963791	0.9363782007	0.9438372799
13	0.2504388132	0.2504388132	0.2625521433	0.9530655391	0.9530655391	0.9219073633	0.9677973379	0.9372275589	0.9603749467	0.9361667842	0.9435336976
14	0.2419463215	0.2419463215	0.2523013968	0.9534883721	0.9534883721	0.9219392909	0.9678111588	0.9374484668	0.9605963791	0.9363782007	0.9438372799
15	0.2363350305	0.2363350305	0.2452778854	0.9534883721	0.9534883721	0.9219392909	0.9678111588	0.9374484668	0.9605963791	0.9363782007	0.9438372799
16	0.2294097892	0.2294097892	0.2364818071	0.9534883721	0.9534883721	0.9209807254	0.9673959674	0.9369526697	0.9603918228	0.9358399876	0.9435336976
17	0.221991582	0.221991582	0.2270299564	0.9534883721	0.9534883721	0.9209807254	0.9673959674	0.9369526697	0.9603918228	0.9358399876	0.9435336976
18	0.2176857351	0.2176857351	0.2214482176	0.9539112051	0.9539112051	0.9219711923	0.9678249678	0.9376692828	0.9608177172	0.9365896172	0.9441408622
19	0.2117789079	0.2117789079	0.2139200898	0.9534883721	0.9534883721	0.9219392909	0.9678111588	0.9374484668	0.9605963791	0.9363782007	0.9438372799
20	0.2080636671	0.2080636671	0.2088757354	0.9534883721	0.9534883721	0.9219392909	0.9678111588	0.9374484668	0.9605963791	0.9363782007	0.9438372799
21	0.2040234682	0.2040234682	0.20365125	0.9534883721	0.9534883721	0.9219392909	0.9678111588	0.9374484668	0.9605963791	0.9363782007	0.9438372799
22	0.2005307996	0.2005307996	0.1990642157	0.9539112051	0.9539112051	0.9219711923	0.9678249678	0.9376692828	0.9608177172	0.9365896172	0.9441408622
23	0.1971199889	0.1971199889	0.1945987057	0.9539112051	0.9539112051	0.9219711923	0.9678249678	0.9376692828	0.9608177172	0.9365896172	0.9441408622
24	0.1951483463	0.1951483463	0.1919145056	0.9543340381	0.9543340381	0.9220030677	0.967838765	0.9378900071	0.961038961	0.9368010337	0.9444444444
25	0.1928531071	0.1928531071	0.1889283283	0.955602537	0.955602537	0.9220985379	0.9678800857	0.9385516299	0.9617021277	0.9374352831	0.9453551913
26	0.1921342228	0.1921342228	0.1877367847	0.95602537	0.95602537	0.9221303094	0.9678938356	0.9387719877	0.9619229951	0.9376466996	0.9456587735
27	0.1906745032	0.1906745032	0.1857157367	0.9568710359	0.9568710359	0.9221937746	0.9679213003	0.939212429	0.9623644482	0.9380695326	0.9462659381
28	0.1881622309	0.1881622309	0.1824485434	0.956448203	0.956448203	0.922162055	0.9679075738	0.9389922541	0.9621437686	0.9378581161	0.9459623558
29	0.186600912	0.186600912	0.1804186059	0.9568710359	0.9568710359	0.9221937746	0.9679213003	0.939212429	0.9623644482	0.9380695326	0.9462659381
30	0.1845041414	0.1845041414	0.1777179116	0.9568710359	0.9568710359	0.9221937746	0.9679213003	0.939212429	0.9623644482	0.9380695326	0.9462659381
31	0.1834885301	0.1834885301	0.1764080999	0.9568710359	0.9568710359	0.9221937746	0.9679213003	0.939212429	0.9623644482	0.9380695326	0.9462659381
