iter	Passed	Remaining
0	55	55632
1	63	31731
2	72	24078
3	78	19444
4	85	17084
5	91	15113
6	95	13600
7	100	12517
8	105	11580
9	108	10745
10	112	10155
11	116	9554
12	119	9044
13	122	8635
14	126	8276
15	128	7922
16	132	7676
17	136	7448
18	139	7226
19	143	7020
20	146	6815
21	148	6619
22	150	6412
23	153	6230
24	155	6049
25	156	5879
26	157	5693
27	159	5546
28	161	5401
29	162	5257
30	164	5132
31	165	5008
32	166	4891
33	168	4781
34	169	4681
35	171	4587
36	172	4495
37	174	4409
38	175	4331
39	177	4251
40	178	4175
41	179	4102
42	181	4029
43	182	3963
44	183	3902
45	184	3834
46	186	3779
47	187	3722
48	189	3673
49	190	3626
50	192	3577
51	193	3532
52	195	3487
53	196	3446
54	198	3408
55	199	3368
56	201	3329
57	202	3294
58	204	3260
59	205	3226
60	207	3193
61	208	3159
62	210	3130
63	211	3100
64	213	3067
65	214	3038
66	216	3009
67	217	2974
68	218	2946
69	219	2913
70	220	2887
71	221	2859
72	223	2834
73	224	2810
74	226	2788
75	227	2767
76	229	2746
77	230	2725
78	231	2704
79	233	2680
80	233	2654
81	234	2630
82	236	2612
83	238	2596
84	239	2578
85	240	2559
86	242	2543
87	243	2525
88	245	2510
89	246	2493
90	247	2475
91	249	2463
92	251	2448
93	252	2432
94	254	2420
95	255	2406
96	256	2392
97	258	2379
98	259	2363
99	260	2343
100	261	2331
101	263	2319
102	264	2301
103	265	2289
104	266	2272
105	268	2261
106	269	2248
107	270	2237
108	272	2226
109	273	2213
110	274	2199
111	275	2187
112	277	2176
113	278	2162
114	279	2151
115	281	2141
116	282	2132
117	283	2121
118	285	2113
119	286	2103
120	288	2095
121	290	2087
122	291	2078
123	293	2070
124	294	2062
125	295	2052
126	297	2041
127	298	2031
128	299	2024
129	300	2013
130	301	2002
131	302	1991
132	303	1981
133	305	1973
134	306	1962
135	307	1954
136	309	1946
137	310	1939
138	311	1932
139	313	1923
140	314	1916
141	316	1910
142	317	1904
143	319	1897
144	320	1891
145	322	1884
146	323	1877
147	325	1871
148	326	1866
149	328	1859
150	329	1853
151	331	1846
152	332	1839
153	333	1833
154	335	1826
155	336	1820
156	337	1814
157	339	1807
158	340	1801
159	342	1796
160	343	1791
161	345	1786
162	346	1781
163	348	1775
164	349	1770
165	351	1764
166	352	1759
167	354	1753
168	355	1748
169	357	1743
170	358	1737
171	359	1732
172	361	1726
173	362	1721
174	364	1716
175	365	1712
176	367	1706
177	368	1702
178	370	1697
179	371	1692
180	373	1688
181	374	1683
182	376	1679
